,realtime_start,realtime_end,date,value
99,2024-08-13,2024-08-13,1999-01-01,7650.789
100,2024-08-13,2024-08-13,2000-01-01,8081.614
101,2024-08-13,2024-08-13,2001-01-01,8210.122
102,2024-08-13,2024-08-13,2002-01-01,8326.201
103,2024-08-13,2024-08-13,2003-01-01,8422.501
104,2024-08-13,2024-08-13,2004-01-01,8553.152
105,2024-08-13,2024-08-13,2005-01-01,8705.407
106,2024-08-13,2024-08-13,2006-01-01,8917.27
107,2024-08-13,2024-08-13,2007-01-01,9118.037
108,2024-08-13,2024-08-13,2008-01-01,9309.449
109,2024-08-13,2024-08-13,2009-01-01,9449.566
110,2024-08-13,2024-08-13,2010-01-01,9574.586
111,2024-08-13,2024-08-13,2011-01-01,9658.913
112,2024-08-13,2024-08-13,2012-01-01,9751.81
113,2024-08-13,2024-08-13,2013-01-01,9846.717
114,2024-08-13,2024-08-13,2014-01-01,9937.295
115,2024-08-13,2024-08-13,2015-01-01,10037.218
116,2024-08-13,2024-08-13,2016-01-01,10161.802
117,2024-08-13,2024-08-13,2017-01-01,10275.758
118,2024-08-13,2024-08-13,2018-01-01,10391.358
119,2024-08-13,2024-08-13,2019-01-01,10501.384
120,2024-08-13,2024-08-13,2020-01-01,10453.812
121,2024-08-13,2024-08-13,2021-01-01,10567.1
122,2024-08-13,2024-08-13,2022-01-01,10695.965
123,2024-08-13,2024-08-13,2023-01-01,10835.491
