,date,value,changed
0,1980-01-01,76.2,0.0
1,1980-02-01,77.2,1.3123359580052396
2,1980-03-01,78.3,2.737206424326466
3,1980-04-01,79.4,4.142059553317545
4,1980-05-01,80.5,5.52744998152912
5,1980-06-01,82.0,7.390804018796193
6,1980-07-01,81.5,6.781047921235217
7,1980-08-01,81.8,7.149146080744417
8,1980-09-01,82.3,7.760393024509704
9,1980-10-01,83.4,9.096966536052854
10,1980-11-01,84.4,10.296007303438937
11,1980-12-01,85.5,11.59932483898396
12,1981-01-01,86.1,12.301079224948875
13,1981-02-01,86.6,12.881799317864086
14,1981-03-01,87.1,13.45916652340682
15,1981-04-01,87.8,14.262840461409112
16,1981-05-01,88.8,15.401792625418235
17,1981-06-01,89.8,16.527918751544362
18,1981-07-01,91.3,18.19829737069803
19,1981-08-01,92.2,19.184058597423117
20,1981-09-01,93.4,20.48557703560099
21,1981-10-01,93.4,20.48557703560099
22,1981-11-01,93.8,20.91384256022624
23,1981-12-01,94.1,21.233671984533277
24,1982-01-01,94.4,21.55248176136644
25,1982-02-01,94.7,21.870278371535925
26,1982-03-01,94.6,21.76468175062778
27,1982-04-01,95.4,22.61034771257282
28,1982-05-01,96.7,23.973031150727955
29,1982-06-01,97.7,25.00715731411989
30,1982-07-01,98.1,25.41657389549144
31,1982-08-01,98.4,25.722384293044968
32,1982-09-01,98.2,25.51913226052464
33,1982-10-01,98.6,25.926464236084705
34,1982-11-01,98.3,25.622204601196266
35,1982-12-01,97.5,24.808369402823942
36,1983-01-01,98.0,25.321189915644453
37,1983-02-01,98.2,25.525271548297518
38,1983-03-01,98.3,25.627104542187535
39,1983-04-01,98.9,26.23748094096679
40,1983-05-01,99.1,26.43970541012755
41,1983-06-01,99.3,26.64152175725168
42,1983-07-01,99.7,27.044341495418863
43,1983-08-01,99.8,27.14464239812698
44,1983-09-01,100.1,27.445243600531782
45,1983-10-01,100.4,27.744943900232084
46,1983-11-01,100.8,28.143350274734075
47,1983-12-01,101.0,28.34176297314677
48,1984-01-01,101.5,28.836812478097265
49,1984-02-01,102.1,29.427945483023368
50,1984-03-01,102.3,29.623831868919552
51,1984-04-01,102.9,30.21034213284917
52,1984-05-01,103.1,30.404705592518738
53,1984-06-01,103.3,30.598692013469282
54,1984-07-01,103.9,31.17952454009077
55,1984-08-01,104.2,31.468263712371797
56,1984-09-01,104.7,31.948110161508076
57,1984-10-01,104.9,32.13913212903435
58,1984-11-01,105.1,32.32978989833845
59,1984-12-01,105.3,32.52008485552208
60,1985-01-01,105.5,32.71001837878894
61,1985-02-01,106.0,33.18395202807803
62,1985-03-01,106.4,33.56131051864407
63,1985-04-01,106.7,33.84326540586212
64,1985-05-01,107.4,34.499310391804016
65,1985-06-01,107.6,34.68553013109638
66,1985-07-01,107.9,34.96434054001833
67,1985-08-01,108.3,35.335054163744
68,1985-09-01,108.5,35.51972637057687
69,1985-10-01,108.9,35.888389965046926
70,1985-11-01,109.5,36.439354152374754
71,1985-12-01,109.8,36.713326755114466
72,1986-01-01,110.1,36.9865507988303
73,1986-02-01,110.0,36.89572427748608
74,1986-03-01,110.3,37.16845155021335
75,1986-04-01,110.4,37.25911338158236
76,1986-05-01,110.4,37.25911338158236
77,1986-06-01,110.9,37.71201193230699
78,1986-07-01,110.9,37.71201193230699
79,1986-08-01,111.1,37.89235458334396
80,1986-09-01,111.5,38.25239058694433
81,1986-10-01,111.6,38.342076685599025
82,1986-11-01,111.6,38.342076685599025
83,1986-12-01,111.9,38.6108938899001
84,1987-01-01,112.3,38.9683559095605
85,1987-02-01,112.7,39.32454468961394
86,1987-03-01,113.0,39.590738123509226
87,1987-04-01,113.5,40.03321599961541
88,1987-05-01,113.8,40.29753318023215
89,1987-06-01,114.1,40.561153566875376
90,1987-07-01,114.3,40.73643840473691
91,1987-08-01,114.9,41.261372787939024
92,1987-09-01,115.2,41.52246939368314
93,1987-10-01,115.5,41.78288606034981
94,1987-11-01,115.8,42.04262632009006
95,1987-12-01,116.1,42.30169367760301
96,1988-01-01,116.4,42.560091610419555
97,1988-02-01,116.8,42.9037342221034
98,1988-03-01,117.2,43.24619997552807
99,1988-04-01,117.6,43.5874969038557
100,1988-05-01,117.9,43.842598944672034
101,1988-06-01,118.3,44.181869512950236
102,1988-07-01,118.6,44.43546207423511
103,1988-08-01,119.0,44.77273020239699
104,1988-09-01,119.5,45.19289826962388
105,1988-10-01,119.9,45.52762630309669
106,1988-11-01,120.2,45.77783481018592
107,1988-12-01,120.6,46.11061351234898
108,1989-01-01,120.9,46.35936973125446
109,1989-02-01,121.1,46.52479570313205
110,1989-03-01,121.5,46.85510123574973
111,1989-04-01,121.9,47.18431934274562
112,1989-05-01,122.3,47.51245716062912
113,1989-06-01,122.7,47.83952175588669
114,1989-07-01,123.3,48.32851931089891
115,1989-08-01,123.7,48.652931314143046
116,1989-09-01,123.8,48.73377205787789
117,1989-10-01,124.5,49.299200167732494
118,1989-11-01,124.9,49.62048530829474
119,1989-12-01,125.4,50.020805564499696
120,1990-01-01,126.1,50.579019280608144
121,1990-02-01,126.2,50.658321421765955
122,1990-03-01,126.8,51.13375723793076
123,1990-04-01,127.1,51.37035029786767
124,1990-05-01,127.3,51.52770671014148
125,1990-06-01,128.1,52.15614347369215
126,1990-07-01,128.7,52.6245275486336
127,1990-08-01,129.7,53.40152832563438
128,1990-09-01,130.2,53.78703333719954
129,1990-10-01,130.6,54.09425299925792
130,1990-11-01,130.8,54.24739235607263
131,1990-12-01,131.0,54.40029755484939
132,1991-01-01,132.0,55.16365633347533
133,1991-02-01,132.4,55.46668663650565
134,1991-03-01,132.6,55.61774403831832
135,1991-04-01,132.7,55.693158819615455
136,1991-05-01,133.1,55.99459062067047
