DATE,PCU9241269241261
2022-07-01,189.555
2022-08-01,189.657
2022-09-01,189.913
2022-10-01,190.511
2022-11-01,190.720
2022-12-01,193.743
2023-01-01,197.320
2023-02-01,197.635
2023-03-01,197.796
2023-04-01,198.425
2023-05-01,199.536
2023-06-01,206.875
2023-07-01,207.192
2023-08-01,207.217
2023-09-01,207.969
2023-10-01,208.123
2023-11-01,208.447
2023-12-01,209.134
2024-01-01,209.947
2024-02-01,210.822
2024-03-01,211.451
2024-04-01,211.643
2024-05-01,213.671
2024-06-01,214.037
